Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16-12-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.48,42.18,49.97,48.19,50.6,39.34,44.21,43.71,40.29,43.86,44.73,48.77,60.35,74.39,75.49,83.97,85.5,86.15,68.29,81.76,92.3,95.71,99.12,110.61,90.27,87.87,71.74,68.53,74.7,71.89,73.65,
American Samoa,ASM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,181.62,190.19,232.88,232.74,149.1,114.86,95.58,70.19,91.28,94.78,161.25,72.57,70.71,67.66,72.5,72.67,72.97,76.22,80.41,83.31,92.91,89.75,83.38,81.99,93.12,94.02,97.82,102.45,84.06,89.68,96.21,97.02,96.26,96.04,93.73,95.88,97.92,96.89,99.46,99.39,98.57,102.88,104.41,107.41,81.47,87.28,93.87,97.63,99.37,101.15,101.81,99.32,100.66,100.77,101.02,98.21,89.69,85.51,83.2,81.44,81.79,81.72,
Australia,AUS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,20.94,24.89,25.23,28.45,24.16,33.47,26.08,37.47,31.22,30.56,33.02,29.74,36.26,35.23,38.18,37.56,34.19,47.61,45.93,39.02,48.45,37.85,57.21,56.37,54.86,54.64,48.51,53.22,53.86,54.51,56.22,54.43,59.51,63.46,51.86,69.83,83.17,79.05,87.5,90.92,89.66,90.73,60.18,92.87,89.88,93.3,59.11,69.37,84.7,85.64,99.76,111.34,103.58,102.87,97.94,99.19,131.17,104.5,84.09,76.66,129.02,146.08,
Austria,AUT,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,98.94,89.47,100.86,106.94,77.16,96.41,102.59,110.3,104.55,102.84,96.95,92.27,100.1,97.81,97.61,100.66,93.06,102.27,96.2,106.19,93.64,121.18,104.67,105.46,96.17,97.97,93.63,110.86,100.81,103.55,101.47,92.65,93.89,96.03,97.95,93.19,100,103.12,107.02,100.66,104.58,103.56,97.55,112.91,105.22,102.19,106.99,120,112.19,92.34,111.7,93.12,93.25,107.93,92.74,99.33,93.71,98.78,98.08,103.38,100.74,100.31,
Azerbaijan,AZE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.98,60.6,52.44,47.83,54.74,43.95,44.73,50.47,59.31,68.26,71.76,75.82,75.33,90.57,88.93,88.59,92.47,95.17,86.57,94.76,98.82,101.08,92.52,102.1,105.38,115.97,125.24,137.56,137.81,142.51,144.86,
Burundi,BDI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,49.34,49.17,48.98,54.31,53.79,54.04,56.55,57.66,56.66,58.08,59.76,53.64,60.47,56.58,60.75,61.94,63.41,60.77,61.34,59.88,67.32,63.22,63.97,63.04,72.21,75.37,78.12,79.49,75.03,81,85.5,88.1,84.38,75.64,78.24,79.06,78.49,73.75,77.84,80.6,88.36,103.08,87.58,105.12,84.72,97.69,86.28,95.73,90.83,101.46,94.11,81,116.44,101.22,95.57,103.21,97.88,116.23,127.71,115.26,118.07,117.72,
Belgium,BEL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.51,88.41,97.24,96.38,107.76,100.08,91.82,97.62,95.13,102.62,101.19,103.92,91.54,98.34,110.25,99.92,89.83,102.82,86.5,99.05,95.28,98.11,95.86,
Benin,BEN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,13.45,12.84,12.6,12.88,13.42,13.13,14.74,15.44,15.13,15.68,15.95,16.15,16.55,15.04,14.7,16.76,16.83,18.9,19.8,18.08,17.7,18,17.98,23.69,23.59,26.26,22.2,27.88,28.93,30.69,34.54,33.5,37.63,39.06,43.08,48.31,51.29,52.1,55.74,57.3,58.82,67.84,65.17,69.9,63.45,57.39,59.98,72.28,74.79,75.76,83.11,88.88,97.66,103.67,92.24,104.08,110.4,117.28,124.87,122.58,129.62,128.14,
Burkina Faso,BFA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,8.98,10.03,10.13,11.38,10.9,11.5,11.74,12.87,12.43,12.44,11.15,11.16,10.66,12.98,14.75,13.41,13.41,14.66,15.37,14.15,16.25,16.21,16.01,16.27,21.5,24.91,22.17,26.3,24.76,22.58,29.65,28.82,29.52,28.57,28.44,32.18,30.31,37.27,37.32,30.62,45.13,45.68,50.21,46.31,56.92,58.58,46.65,68.17,59.28,69.87,62.46,76.15,91.77,99.64,98.08,102.28,95.51,107.71,116.48,123.49,111.24,122.69,
Bangladesh,BGD,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,27.03,25.49,28.81,28.7,29.33,27.92,31.85,32.18,33.93,31.94,28.82,28.92,32.12,30.48,33.87,32.29,34.85,35.62,34.99,37.12,36.78,38.15,39.09,39.31,41.03,41.49,40.83,40.84,44.91,45.08,47.08,47.47,47,44.94,46.47,48.95,49.49,51.24,58.59,62.5,61.14,62.73,64.15,62.56,70.97,73.37,77.62,84.01,84.55,89.65,93.78,94.27,96.58,98.76,100.69,100.55,108.47,108,109.89,111.84,116.46,119.1,
Bulgaria,BGR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,88.15,99.61,104.6,108.51,111.98,129.13,121.58,121.07,127.09,123.87,124.16,131.26,131.15,122.48,124.24,135.54,119.81,127.69,130.94,120.8,135.64,146.96,122.64,139.14,105.91,127.96,118.56,119.99,128.94,116.07,113.77,100.38,73.44,86.51,98.85,69.42,84.58,78.51,77.04,67.66,74.03,79.75,69.06,90.51,66.97,71.88,53.3,82.73,75.48,87.54,87.97,78.03,102.83,101.26,97.03,101.71,108.23,108.08,110.9,89.77,113.36,102.66,
Bahrain,BHR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,68.62,68.47,69.27,69.27,69.46,68.36,68.9,69.31,69.74,70.38,70.94,72.05,72.06,77.57,109.49,144.94,183.32,182.71,182.8,184.88,81.67,63.92,64.75,65.43,73.52,77.09,85.89,85.92,85.63,49.27,52.54,60.33,65.78,77.17,94.47,95.3,94.99,111.38,96.79,94.71,92.17,81.52,82.33,80,74.51,99.4,92.22,89.94,89.52,88.39,86,86.15,85.37,92.36,98.43,109.21,94.53,96.15,99.88,101.93,106.7,106.87,
"Bahamas, The",BHS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,25.6,26.78,28.23,29.17,30.13,32.35,34.43,34.7,34.9,37.99,36.01,41.23,41.71,42.83,44.57,49.47,49.09,48.08,48.26,48.15,52.21,50.73,48.59,51.03,49.3,47.84,48.4,49.34,51.68,51.54,47.83,45.33,46.3,47.83,52.35,52.3,55.06,57.43,61.99,60.85,63.59,61.55,64.78,69.76,68.95,73.04,78.49,78.12,71.86,91.47,93.77,93.87,94.83,98.92,100.59,100.49,100.75,100.31,102.7,101.67,101.75,102.18,
Bosnia and Herzegovina,BIH,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.05,70.86,63,62.75,65.93,81,87.37,86,68,77.04,83.29,73.34,102.19,96.91,99.72,92.89,101.68,104.92,95.42,97.55,82.24,105.87,83.5,98.45,118.05,95.06,127.48,115.35,129.61,107.92,128.06,
Belarus,BLR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.16,109.52,84.09,89.44,99.6,82.53,77.36,70.55,85.57,82.69,86.39,91.25,108.96,97.53,100.97,106.64,121.75,113.43,108.41,102.43,112.03,97.28,109.33,97.86,92.81,98.79,87.82,91.51,97.89,89.63,93.16,
Belize,BLZ,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,14.96,12.01,13.29,16.77,17.7,20.71,23,26.07,24.33,26.08,27.7,29.03,30.86,34.17,31.48,28.95,35.42,40.52,36.03,43.15,42.95,46.09,40.41,41.08,40.67,42.07,48.8,45.89,51.41,56.03,52.78,66.18,71.81,66.26,74.62,80.99,89.86,82.59,90.33,105.26,101.21,89.33,91.7,104.23,108.95,105.45,104.77,101.61,101.43,101.1,91.31,112.25,101.46,104.03,102.26,93.71,103.24,95.77,93.19,93.39,99.93,98.44,
Bermuda,BMU,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,14.35,14.89,16.18,16.7,17.36,18,18.52,20.38,20.25,21.11,22.14,23.84,26.78,27.18,28.9,29.09,27.5,27.23,26.81,28.16,29.49,30.18,20.99,29.03,33.45,33.72,34.97,35.64,35.92,36.83,39.74,38.22,41.15,43.89,48.69,51.01,52.26,53.43,53.83,56.4,57.61,60.2,63.85,62.05,66.18,68.06,68.03,68.08,80.88,75.5,77.22,88.93,93.33,96.23,102.41,101.36,95.23,108.12,107.88,107.12,116.71,111.72,
Brazil,BRA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,16.98,17.87,17.71,17.21,21.06,18.94,20.89,20.69,21.38,21.66,23.56,24.31,22.97,25.7,25.86,26.1,28.73,27.48,29.02,31.92,33.74,33.79,33.8,36.56,40.94,37.62,42.29,42.41,44.3,41.03,41.89,44.32,43.62,47.23,48.36,45.54,48.73,49.63,52.84,53.96,57.21,60.96,66.32,68.9,67.94,71.56,77.72,84.38,82.14,87.79,93.54,90.56,97.26,98.65,102.82,98.53,109.59,109.91,112.23,116.58,115.35,115.91,
Barbados,BRB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,506.74,530.98,607.24,537.17,615.8,557.41,648.81,506.15,467.51,532.04,463.88,407.73,388.42,353.46,324.73,343.71,391.76,349.19,396.42,452.44,372.03,323.54,296.5,313.82,302.71,341.22,276.57,274.52,232.3,247.63,244.48,225.99,202.27,201.12,206.37,257.26,252.05,217.17,237.59,243.82,203.83,202.19,199.1,181.58,207.76,180.35,181.88,157.69,174.82,141.65,150.89,143.65,117.45,112.84,99.47,87.69,102.47,114.62,97.58,96.79,90.63,108.33,
Brunei Darussalam,BRN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,72.24,71.35,63.76,61.74,54.95,54.86,60.92,58.73,67.05,66.43,57.17,56.99,71.54,87.74,87.05,74.9,63.15,63.01,64.46,60.93,60.88,62.73,67.04,58.83,45.34,47.81,46.44,50.41,48.02,50.93,53.48,50.9,56.93,58.86,64.17,67.54,65.59,62.91,71.89,81.62,83.49,85.84,89.05,97.62,87.84,79.1,79.57,80.67,82.99,87.2,90.86,90.67,93.78,96.68,99.14,104.18,102.86,97.66,95.78,98.15,95.83,97.29,
Bhutan,BTN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,33.86,34.94,35.98,36.93,37.89,38.76,39.78,40.75,41.73,42.59,43.63,44.54,45.55,46.5,47.53,48.52,49.61,50.99,52.32,55.73,60.46,60.72,62,69,63.64,65.54,74.41,60.56,61.25,72.84,68.53,70.37,72.59,73.51,75.1,74.25,71.53,68.48,64.89,53.96,55.51,53.6,58.33,70.13,105.42,114.21,112.36,91.75,83.62,87.23,108.7,93.6,91.13,94.86,95.71,109.43,106.26,87.99,94.68,103.39,91.44,68.09,
Botswana,BWA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,71.69,45.45,48.29,52.26,50.67,55.27,68.65,57.16,67.74,51.1,89.97,77.58,63.36,93.52,82.08,103.87,91.08,79.31,68.83,80.47,84.11,71.42,67.13,62.32,68.49,69.62,68.71,98.65,94.47,67.71,66.53,54.93,65.52,71.2,72.52,86.32,70.19,59.14,63.62,66.93,68.8,73,74.52,70.56,75.5,75.93,73.17,81.08,81.25,90.82,107.55,83.86,76.73,93.14,104.08,102.78,101.74,135.06,115.41,179.04,147.63,138.33,
Central African Republic,CAF,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,27.97,28.13,29.18,28.2,30.38,29.78,32.24,33.53,35.21,34.93,34.39,36.42,37.49,40.84,40.87,41.37,41.28,39.57,42.28,42.08,42.28,43.47,41.31,39.75,37.99,42.93,39.32,41.86,41.64,40.93,40.73,40.5,40.77,43.57,45.43,50.34,52.96,53.74,51.76,53.37,55.13,53.89,50.94,52.85,53.41,54.47,57.1,58.09,60.21,99.52,100.53,103.34,80.9,93.04,96.07,110.89,111.84,130.54,153.47,165.58,169.35,173.39,
Canada,CAN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,18.13,27.21,31.3,27.58,30.87,36.24,29.01,32.68,34.21,30.69,37.78,33.66,35.23,31.14,36.99,40.45,41.62,44.44,40.56,42.55,48.7,52.01,48.08,46.41,51.13,58.02,55.27,42.16,50.69,58.92,57.97,54.5,59.59,61.44,62.53,65.88,62.92,67.36,72.89,68.92,56.67,49.85,64.53,69.88,73.33,70.82,69.56,82.41,80.15,78.66,81.26,85.67,106.59,93.45,98.52,108.03,107.87,107.06,107.23,111.22,84.04,107.97,
Central Europe and the Baltics,CEB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Switzerland,CHE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,118.66,127.07,119.96,125.63,98.85,116.04,137.22,120.14,124.66,116.55,122.74,103.07,122.4,104.85,121.08,111.91,101.76,115.2,132.42,111.88,113.23,152.09,118.16,135.73,122.48,124.55,104.43,138.14,132.34,123.94,111.19,132.36,118.95,109.14,110.45,131.58,111.37,127.4,103.27,122.28,99.27,106.94,93.01,111.3,99.93,96.44,107.09,102.59,109.82,95.61,117.03,101.73,92.17,110.22,96.5,93.29,96.02,107.56,98.23,104.23,80.53,97.36,
Channel Islands,CHI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,27.16,28.07,27.52,28.32,25.86,29.68,29.66,30.66,26.2,27.75,31.13,31.41,27.6,28.96,28.92,29.09,34.18,33.58,37.15,36.59,38,38.26,35.45,38.87,39.13,40.57,42.55,45.48,48.82,51,53.64,55.96,57.98,62.2,65.47,67.9,66.15,67.26,65.9,68.87,74.03,75.3,78.64,79.86,84.59,87.14,81.31,83.62,85.8,90.59,96.67,98.23,102.36,96.62,101.86,101.52,100.41,112.62,110.32,104.83,107.19,106.37,
China,CHN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,14.24,14.97,15.4,16.18,17.64,19.05,19.21,19.09,19.35,20.73,21.26,20.55,23.34,23.24,23.72,23.34,23.92,26.37,26.8,26.52,27.71,30.37,32.72,35.26,34.04,34.72,36.55,36.55,37.37,40.1,41.28,42.68,45.5,46.34,49.53,53.41,54.75,56.45,58.43,61.97,63.25,66.02,65.89,70.44,72.56,74.41,77.42,82.16,83.79,86.35,90.95,93.5,95.7,97.36,101.49,101.14,103.12,104.39,107.84,107.94,109.76,111.85,
Cote d'Ivoire,CIV,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,14.6,14.69,16.83,19.06,17.86,20.36,18.03,21.93,21.44,23.2,23.9,23.98,26.02,26.1,30.83,31.15,31.31,31.06,34.72,35.24,38.91,35.71,35.6,36.74,41.29,42.18,43.86,45.27,46.24,49.94,48.46,50.8,48.85,50.61,56.44,58.75,61.92,65.32,66.09,71.68,67.51,67.38,66.76,67.93,70.99,73.53,70.56,74.37,69.34,73.51,76.14,83.12,85.71,94.35,104.58,101.08,111.1,116.99,121.5,125.74,129.93,133.26,
Cameroon,CMR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,15.36,16.62,18.42,19.06,17.68,18.2,20.69,21.64,21.28,23.07,23.47,24.62,25.12,27.74,27.31,25.6,26.01,25.66,26.11,26.74,27.32,28.42,27.67,28.06,29.64,32.43,27.57,29.31,30.14,30.93,31.64,31.37,33.36,35.24,38.03,40.23,38.31,41.11,42.8,43.55,43.77,44.69,46.93,48.05,58.35,62.32,66.17,68.46,73.87,81.99,83.09,89.66,92.3,96.08,101.61,102.31,102.55,106.74,106.22,108.86,106.66,108.5,
"Congo, Dem. Rep.",COD,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,28.35,28.71,28.88,28.87,29.1,29.45,30.52,32.43,33.12,34.45,34.81,35.63,36.53,37.45,38.48,39.09,39.37,38.08,40.02,41.79,42.54,44.84,46,47.33,48.98,50.04,51.12,52.67,54.21,57.03,59.01,60.47,60.82,62.21,50.67,50.23,48.76,49.49,48.19,47.31,46.2,45.25,45.54,45.81,46.07,46.31,46.73,47.15,50.28,81.26,84.92,86.75,92.18,98.71,99.2,102.09,104.04,106.53,108.98,113.81,118.6,123.65,
"Congo, Rep.",COG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,33.05,33.86,34.45,35.33,36.3,36.51,39.86,39.55,38.92,38.56,39.55,37.87,39.18,38.48,39.44,40.22,41.59,40.03,40.84,42.17,43.93,46.42,45.62,47.63,49.77,48.02,49.18,51.01,49.94,49.46,47.56,48.53,49.37,53.02,57.12,59.3,59.2,57.53,61.96,63.4,64.77,65.17,66.98,70.13,73.38,76.04,78.44,82.35,85.48,83.76,85.11,89.36,91.84,100.98,100.53,98.49,99.12,100.7,100.5,101.45,104.78,105.92,
Colombia,COL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,30.3,32.97,31.12,33.26,33.64,34.77,35.44,37.61,37.73,39.25,39.63,41.02,43.82,46.23,50.61,51.39,54.28,59,60.1,61.25,62.8,59.46,59.9,61.51,59.04,62.18,62.79,65.78,68.18,73.05,74.98,78.78,74.03,72.65,76.45,75.06,75.93,73.93,76.77,77.76,78.5,81.32,85.65,87.47,86.26,87.62,90.64,88.69,84.71,82.52,83.3,85.64,94.02,95.23,100.36,104.41,96.42,84.67,110.94,110.22,108.9,111.63,
Comoros,COM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,34.36,34.65,35.41,36.39,37.08,38.63,38.69,39.23,39.88,39.61,39.42,38.56,41.94,42.04,40.28,41.23,43.12,44.42,45.64,45.48,43.06,44.95,46.21,44.52,45.72,47.98,53.1,54.02,55.45,59.86,56.31,57.38,58.34,58.93,61.76,63.55,62.75,65.44,66.99,68.4,69.83,56.27,57.67,64.05,70.13,88.22,90.84,93.1,96.02,97.99,99.38,99.66,100.67,98.72,98.58,102.7,103.12,105.43,105.74,106.46,107.72,107.76,
Cabo Verde,CPV,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,43.88,48.22,49.66,53.23,57.95,59.72,57.94,39.34,39.29,31.36,26.61,24.76,23.85,25.05,26.23,30.92,30.03,35,40.33,55.22,34.09,32.41,30.43,40.74,36.16,52.39,84.33,78.84,78.12,68.5,55.27,50.74,50.82,45.59,46.1,52.06,49.68,52.39,75.22,99.6,97.26,88.87,92.57,91.17,87.86,89.17,98.97,91.43,89.68,87.65,100.06,104.42,109.56,100.53,101.41,98.06,91.26,72.04,70.18,69.34,70.52,66.15,
Costa Rica,CRI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,13.67,14.39,14.99,14.81,16.34,18.16,19.02,21.28,23.8,25.18,27.63,27.57,29.91,27.66,29.35,28.94,29.77,31.44,31.5,31.53,32.51,31.51,33.8,35.34,33.14,34.72,35.82,38,45.49,49.41,50.98,55.44,55.3,56.38,58.7,62.77,63.95,68.01,69.94,70.88,71.32,67.72,70.69,72.23,76.06,86.93,83.3,79.94,80.81,84.9,89.33,94.72,95.14,99.17,97.63,103.2,105.21,105.6,91.12,95.16,97.42,96.09,
Caribbean small states,CSS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
